iter	Passed	Remaining
401	13135	51170
402	13171	51151
403	13221	51183
404	13261	51181
405	13299	51166
406	13348	51195
407	13410	51276
408	13441	51234
409	13489	51258
410	13523	51231
411	13566	51236
412	13609	51241
413	13635	51181
414	13682	51200
415	13734	51241
416	13796	51314
417	13839	51318
418	13902	51396
419	13923	51319
420	13950	51263
421	13989	51252
422	14030	51246
423	14084	51289
424	14123	51277
425	14165	51276
426	14227	51346
427	14269	51343
428	14319	51371
429	14349	51324
430	14389	51316
431	14436	51330
432	14497	51394
433	14528	51351
434	14577	51373
435	14615	51353
436	14636	51277
437	14673	51256
438	14716	51257
439	14746	51212
440	14793	51222
441	14834	51214
442	14877	51216
443	14928	51242
444	15002	51347
445	15044	51339
446	15073	51290
447	15121	51306
448	15136	51208
449	15177	51200
450	15211	51166
451	15252	51156
452	15302	51178
453	15323	51101
454	15380	51143
455	15439	51194
456	15472	51156
457	15525	51186
458	15554	51135
459	15581	51080
460	15624	51076
461	15654	51030
462	15691	51004
463	15740	51021
464	15773	50985
465	15832	51031
466	15864	50990
467	15900	50961
468	15927	50907
469	15955	50855
470	16032	50955
471	16080	50967
472	16110	50920
473	16166	50954
474	16199	50918
475	16239	50901
476	16283	50899
477	16330	50905
478	16395	50964
479	16450	50995
480	16478	50942
481	16536	50981
482	16585	50991
483	16616	50949
484	16664	50957
485	16704	50939
486	16765	50983
487	16811	50985
488	16843	50943
489	16879	50913
490	16946	50976
491	16979	50937
492	17029	50950
493	17084	50978
494	17121	50948
495	17148	50892
496	17185	50866
497	17215	50816
498	17267	50833
499	17310	50824
500	17346	50793
501	17381	50759
502	17415	50723
503	17470	50748
504	17500	50699
505	17563	50745
506	17604	50728
507	17638	50694
508	17671	50654
509	17713	50640
510	17757	50631
511	17798	50614
512	17849	50625
513	17878	50574
514	17897	50495
515	17925	50442
516	17963	50416
517	17983	50339
518	18002	50260
519	18051	50267
520	18081	50217
521	18132	50228
522	18166	50193
523	18193	50137
524	18223	50089
525	18250	50033
526	18279	49981
527	18323	49974
528	18359	49940
529	18395	49911
530	18449	49929
531	18515	49978
532	18563	49978
533	18610	49976
534	18650	49956
535	18668	49876
536	18711	49862
537	18752	49844
538	18785	49802
539	18822	49775
540	18866	49763
541	18884	49684
542	18922	49659
543	18962	49636
544	19001	49614
545	19054	49626
546	19081	49571
547	19128	49567
548	19180	49575
549	19236	49596
550	19265	49545
551	19296	49500
552	19319	49433
553	19352	49394
554	19400	49393
555	19439	49367
556	19463	49305
557	19508	49296
558	19557	49296
559	19594	49267
560	19635	49246
561	19675	49224
562	19717	49205
563	19733	49124
564	19753	49052
565	19787	49014
566	19812	48955
567	19847	48920
568	19894	48915
569	19919	48855
570	19949	48807
571	19974	48749
572	20008	48712
573	20038	48664
574	20072	48628
575	20100	48576
576	20128	48523
577	20177	48523
578	20206	48473
579	20252	48466
580	20301	48464
581	20331	48419
582	20351	48348
583	20387	48314
584	20419	48272
585	20447	48221
586	20477	48175
587	20500	48113
588	20546	48104
589	20573	48051
590	20605	48009
591	20624	47937
592	20674	47939
593	20696	47874
594	20730	47837
595	20788	47855
596	20822	47819
597	20841	47746
598	20907	47783
599	20924	47708
600	20974	47706
601	20994	47638
602	21024	47592
603	21067	47575
604	21103	47544
605	21140	47514
606	21176	47482
607	21198	47418
608	21228	47371
609	21267	47345
610	21297	47300
611	21344	47293
612	21371	47239
613	21404	47200
614	21444	47178
615	21470	47123
616	21497	47072
617	21538	47050
618	21561	46990
619	21598	46958
620	21640	46940
621	21681	46918
622	21711	46872
623	21735	46814
624	21771	46782
625	21803	46741
626	21823	46675
627	21851	46625
628	21886	46591
629	21908	46530
630	21955	46520
631	21985	46476
632	22011	46423
633	22044	46383
634	22076	46343
635	22106	46299
636	22140	46262
637	22171	46220
638	22213	46199
639	22259	46188
640	22305	46176
641	22335	46132
642	22379	46116
643	22423	46100
644	22462	46074
645	22482	46009
646	22524	45989
647	22563	45962
648	22593	45918
649	22625	45876
650	22652	45826
651	22676	45771
652	22708	45729
653	22736	45681
654	22771	45646
655	22803	45607
656	22833	45561
657	22868	45529
658	22900	45487
659	22938	45460
660	22973	45426
661	23003	45380
662	23022	45316
663	23043	45254
664	23082	45227
665	23115	45188
666	23162	45179
667	23191	45133
668	23233	45111
669	23270	45082
670	23304	45046
671	23331	44997
672	23351	44934
673	23394	44913
674	23436	44893
675	23467	44852
676	23485	44786
677	23537	44784
678	23566	44738
679	23594	44690
680	23617	44634
681	23666	44625
682	23703	44596
683	23737	44559
684	23786	44551
685	23824	44522
686	23854	44479
687	23891	44448
688	23919	44401
689	23947	44354
690	23987	44329
691	24006	44265
692	24056	44260
693	24086	44216
694	24105	44152
695	24122	44085
696	24146	44032
697	24186	44006
698	24208	43948
699	24266	43957
700	24300	43920
701	24342	43900
702	24362	43839
703	24402	43813
704	24440	43784
705	24463	43728
706	24504	43705
707	24533	43661
708	24575	43639
709	24605	43596
710	24655	43589
711	24711	43591
712	24732	43533
713	24777	43516
714	24816	43488
715	24843	43440
716	24870	43393
717	24905	43358
718	24926	43301
719	24968	43278
720	25009	43255
721	25051	43233
722	25079	43186
723	25132	43183
724	25184	43178
725	25210	43129
726	25249	43100
727	25285	43069
728	25334	43057
729	25377	43036
730	25408	42996
731	25436	42950
732	25467	42909
733	25493	42860
734	25529	42827
735	25550	42769
736	25581	42728
737	25602	42670
738	25625	42616
739	25646	42559
740	25684	42530
741	25718	42493
742	25758	42469
743	25785	42422
744	25831	42405
745	25870	42376
746	25898	42332
747	25925	42285
748	25954	42241
749	25993	42214
750	26009	42148
751	26038	42104
752	26083	42086
753	26115	42047
754	26143	42003
755	26162	41943
756	26181	41883
757	26216	41849
758	26253	41819
759	26286	41782
760	26325	41754
761	26364	41727
762	26386	41671
763	26416	41630
764	26442	41582
765	26476	41546
766	26512	41513
767	26542	41473
768	26598	41471
769	26619	41416
770	26636	41354
771	26669	41316
772	26710	41292
773	26743	41254
774	26776	41218
775	26811	41184
776	26845	41148
777	26873	41105
778	26902	41061
779	26932	41019
780	26960	40975
781	26984	40924
782	27011	40878
783	27030	40821
784	27065	40787
785	27093	40743
786	27144	40734
787	27166	40681
788	27195	40638
789	27247	40629
790	27280	40593
791	27309	40550
792	27348	40522
793	27384	40490
794	27413	40448
795	27442	40405
796	27477	40371
797	27512	40337
798	27532	40282
799	27558	40236
800	27615	40233
801	27663	40218
802	27688	40170
803	27715	40126
804	27749	40089
805	27774	40041
806	27789	39979
807	27826	39948
808	27858	39910
809	27881	39859
810	27911	39819
811	27935	39770
812	27961	39723
813	27988	39679
814	28005	39619
815	28067	39624
816	28099	39586
817	28122	39536
818	28147	39489
819	28180	39453
820	28206	39407
821	28256	39393
822	28300	39372
823	28323	39322
824	28359	39290
825	28399	39263
826	28434	39231
827	28473	39202
828	28529	39198
829	28558	39156
830	28591	39119
831	28615	39071
832	28646	39032
833	28683	39001
834	28723	38975
835	28754	38935
836	28770	38875
837	28798	38833
838	28830	38795
839	28869	38767
840	28883	38706
841	28898	38645
842	28920	38594
843	28938	38538
844	28965	38494
845	28998	38459
846	29036	38429
847	29052	38371
848	29090	38342
849	29118	38299
850	29140	38248
851	29175	38216
852	29199	38168
853	29234	38134
854	29271	38103
855	29282	38039
856	29323	38015
857	29343	37961
858	29368	37915
859	29405	37885
860	29438	37849
861	29461	37800
862	29477	37743
863	29505	37701
864	29533	37658
865	29555	37610
866	29587	37572
867	29630	37550
868	29662	37512
869	29691	37472
870	29725	37438
871	29755	37399
872	29782	37355
873	29801	37302
874	29839	37273
875	29882	37250
876	29902	37199
877	29946	37177
878	29975	37137
879	30005	37097
880	30033	37056
881	30079	37036
882	30110	36999
883	30154	36976
884	30173	36924
885	30209	36891
886	30245	36860
887	30277	36824
888	30305	36782
889	30338	36747
890	30368	36708
891	30406	36678
892	30439	36643
893	30467	36602
894	30487	36550
895	30538	36536
896	30565	36494
897	30582	36440
898	30625	36416
899	30658	36381
900	30696	36352
901	30742	36332
902	30779	36301
903	30799	36250
904	30827	36210
905	30859	36172
906	30891	36137
907	30913	36088
908	30933	36038
909	30955	35990
910	30974	35938
911	31004	35900
912	31049	35879
913	31081	35841
914	31109	35801
915	31132	35754
916	31158	35711
917	31184	35668
918	31212	35627
919	31238	35584
920	31276	35555
921	31299	35509
922	31347	35491
923	31381	35456
924	31396	35402
925	31421	35357
926	31449	35317
927	31482	35282
928	31511	35242
929	31540	35202
930	31580	35176
931	31608	35135
932	31642	35101
933	31676	35068
934	31693	35015
935	31719	34973
936	31774	34962
937	31804	34924
938	31855	34908
939	31888	34873
940	31932	34851
941	31961	34811
942	31992	34774
943	32022	34736
944	32040	34685
945	32069	34646
946	32100	34608
947	32126	34566
948	32164	34537
949	32196	34501
950	32224	34461
951	32243	34411
952	32264	34364
953	32295	34326
954	32316	34278
955	32338	34232
956	32366	34193
957	32389	34147
958	32420	34111
959	32439	34061
960	32458	34012
961	32499	33986
962	32537	33956
963	32559	33910
964	32582	33865
965	32601	33816
966	32641	33788
967	32670	33750
968	32703	33716
969	32746	33691
970	32769	33646
971	32796	33606
972	32828	33570
973	32859	33534
974	32923	33531
975	32956	33496
976	32993	33466
977	33015	33420
978	33041	33378
979	33072	33342
980	33098	33300
981	33138	33273
982	33170	33237
983	33212	33212
984	33243	33175
985	33273	33138
986	33312	33109
987	33334	33064
988	33359	33022
989	33383	32978
990	33403	32931
991	33421	32882
992	33459	32853
993	33483	32810
994	33513	32772
995	33537	32729
996	33554	32679
997	33590	32648
998	33643	32632
999	33671	32593
1000	33703	32559
1001	33731	32519
1002	33756	32477
1003	33774	32428
1004	33813	32400
1005	33841	32361
1006	33862	32315
1007	33887	32273
1008	33903	32223
1009	33940	32192
1010	33967	32152
1011	34010	32128
1012	34038	32089
1013	34052	32037
1014	34078	31996
1015	34108	31959
1016	34161	31944
1017	34196	31912
1018	34223	31872
1019	34241	31824
1020	34274	31790
1021	34303	31752
1022	34334	31716
1023	34359	31674
1024	34408	31655
1025	34443	31623
1026	34477	31590
1027	34505	31551
1028	34534	31513
1029	34574	31486
1030	34604	31449
1031	34625	31404
1032	34649	31362
1033	34682	31328
1034	34728	31306
1035	34755	31266
1036	34781	31225
1037	34804	31183
1038	34822	31136
1039	34855	31102
1040	34876	31056
1041	34905	31019
1042	34936	30984
